# RMSD_active  RMSD_inactive
1.427408695220947266e+00 1.722770452499389648e+00
1.434526562690734863e+00 1.711994171142578125e+00
1.429910898208618164e+00 1.727694153785705566e+00
1.442284941673278809e+00 1.807066559791564941e+00
1.423426985740661621e+00 1.718409776687622070e+00
1.436813116073608398e+00 1.730674982070922852e+00
1.408789157867431641e+00 1.720976710319519043e+00
1.438617467880249023e+00 1.730389237403869629e+00
1.427206158638000488e+00 1.685323357582092285e+00
1.431445717811584473e+00 1.717769503593444824e+00
1.432993054389953613e+00 1.717346668243408203e+00
1.429349660873413086e+00 1.712317109107971191e+00
1.439960122108459473e+00 1.733134388923645020e+00
1.436860799789428711e+00 1.735828280448913574e+00
1.435031890869140625e+00 1.710293889045715332e+00
1.434900999069213867e+00 1.725096106529235840e+00
1.438390016555786133e+00 1.728483915328979492e+00
1.469158172607421875e+00 1.761978864669799805e+00
1.442270517349243164e+00 1.738054633140563965e+00
1.438241720199584961e+00 1.716231942176818848e+00
1.432200193405151367e+00 1.727672457695007324e+00
1.425175309181213379e+00 1.675299882888793945e+00
1.432605028152465820e+00 1.729480385780334473e+00
1.447713613510131836e+00 1.733836650848388672e+00
1.426073551177978516e+00 1.718737006187438965e+00
1.425590157508850098e+00 1.705697536468505859e+00
1.430022597312927246e+00 1.726307868957519531e+00
1.431347012519836426e+00 1.728681564331054688e+00
1.441655039787292480e+00 1.729880332946777344e+00
1.426561236381530762e+00 1.733816623687744141e+00
1.423579812049865723e+00 1.711913704872131348e+00
1.439995527267456055e+00 1.623521089553833008e+00
1.399367094039916992e+00 1.688713192939758301e+00
1.431795477867126465e+00 1.707309484481811523e+00
1.450014948844909668e+00 1.754893183708190918e+00
1.430290699005126953e+00 1.673891305923461914e+00
1.439305424690246582e+00 1.718212723731994629e+00
1.437241435050964355e+00 1.727676272392272949e+00
1.436497330665588379e+00 1.722674965858459473e+00
1.442289948463439941e+00 1.729246139526367188e+00
1.456792831420898438e+00 1.709745883941650391e+00
1.436650156974792480e+00 1.718039274215698242e+00
