# RMSD_active  RMSD_inactive
1.594100356101989746e+00 1.187592744827270508e+00
1.573203325271606445e+00 1.169736027717590332e+00
1.591041088104248047e+00 1.196679830551147461e+00
1.583546757698059082e+00 1.187067031860351562e+00
1.589967846870422363e+00 1.216577053070068359e+00
1.580904006958007812e+00 1.181205630302429199e+00
1.580921888351440430e+00 1.194892168045043945e+00
1.570377469062805176e+00 1.183207631111145020e+00
1.616827607154846191e+00 1.230498909950256348e+00
1.552939176559448242e+00 1.174390196800231934e+00
1.589092612266540527e+00 1.193402528762817383e+00
1.571521997451782227e+00 1.172641038894653320e+00
1.582586646080017090e+00 1.182297348976135254e+00
1.528649091720581055e+00 1.140201210975646973e+00
1.563412666320800781e+00 1.172312378883361816e+00
1.582579493522644043e+00 1.179908990859985352e+00
1.587287187576293945e+00 1.200267553329467773e+00
1.601821303367614746e+00 1.207641601562500000e+00
1.602755784988403320e+00 1.204277157783508301e+00
1.597438693046569824e+00 1.196232080459594727e+00
1.590659141540527344e+00 1.198900461196899414e+00
1.596171140670776367e+00 1.198548436164855957e+00
1.583070039749145508e+00 1.190794944763183594e+00
1.587075948715209961e+00 1.187650322914123535e+00
1.569112539291381836e+00 1.165507197380065918e+00
1.477324485778808594e+00 1.109231352806091309e+00
1.571183562278747559e+00 1.187190175056457520e+00
1.594836831092834473e+00 1.189985632896423340e+00
1.567826628684997559e+00 1.185676097869873047e+00
1.598739743232727051e+00 1.198088526725769043e+00
1.590299725532531738e+00 1.186410307884216309e+00
1.554562926292419434e+00 1.161707758903503418e+00
1.521919488906860352e+00 1.161034345626831055e+00
1.589961051940917969e+00 1.199306249618530273e+00
1.570675611495971680e+00 1.173822641372680664e+00
1.556869387626647949e+00 1.203170061111450195e+00
1.577426195144653320e+00 1.171958208084106445e+00
1.585862755775451660e+00 1.186041831970214844e+00
1.605742454528808594e+00 1.199969530105590820e+00
1.582855105400085449e+00 1.182276844978332520e+00
1.546510696411132812e+00 1.182808160781860352e+00
1.583839297294616699e+00 1.179044604301452637e+00
1.555825591087341309e+00 1.166310667991638184e+00
1.607197761535644531e+00 1.195419430732727051e+00
1.610548496246337891e+00 1.230738043785095215e+00
1.595423221588134766e+00 1.196467399597167969e+00
1.588467955589294434e+00 1.206492304801940918e+00
1.591413617134094238e+00 1.190433502197265625e+00
1.537298798561096191e+00 1.150070428848266602e+00
